_id,name,sku,slug,brand,brandSlug,description,category,categoryBreadcrumb,active,featured,defaultImage,colorVariantsCount,measurementsEnabled,measurementsVariants,createdAt,updatedAt
6985fd946560ad38f3f770dc,Bidet AQ1500,AQU98020,bidet-aq1500,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da6,Bidet,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388883/products/products/bidet-aq1000-0-1770388880251.jpg,0,0,[],2026-02-06T14:41:24.770Z,2026-02-06T14:41:24.770Z
6985fd936560ad38f3f770db,Ducha con transferencia AQ1500,AQU98030,ducha-con-transferencia-aq1500,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da7,Ducha,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388885/products/products/ducha-con-transferencia-aq1500-0-1770388882814.jpg,0,0,[],2026-02-06T14:41:23.826Z,2026-02-06T14:41:23.826Z
6985fd916560ad38f3f770da,Bidet AQ1000,AQU99020,bidet-aq1000,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da6,Bidet,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388883/products/products/bidet-aq1000-0-1770388880251.jpg,0,0,[],2026-02-06T14:41:21.914Z,2026-02-06T14:41:21.914Z
6985fd8f6560ad38f3f770d9,Ducha con transferencia AQ1000,AQU99030,ducha-con-transferencia-aq1000,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da7,Ducha,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388881/products/products/ducha-con-transferencia-aq1000-0-1770388877910.jpg,0,0,[],2026-02-06T14:41:19.350Z,2026-02-06T14:41:19.350Z
6985fd8d6560ad38f3f770d8,Lavatorio de mesada AQ1000,AQU99011,lavatorio-de-mesada-aq1000,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da5,Lavatorio,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388878/products/products/lavatorio-de-mesada-aq1000-0-1770388875999.jpg,0,0,[],2026-02-06T14:41:17.014Z,2026-02-06T14:41:17.014Z
6985fd8b6560ad38f3f770d7,Ducha embutida con transferencia TAOS,AQU137043,ducha-embutida-con-transferencia-taos,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da7,Ducha,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388875/products/products/ducha-embutida-con-transferencia-taos-0-1770388872765.png,0,0,[],2026-02-06T14:41:15.098Z,2026-02-06T14:41:15.098Z
6985fd876560ad38f3f770d6,Lavatorio de pared TAOS,AQU137015,lavatorio-de-pared-taos,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da5,Lavatorio,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388873/products/products/lavatorio-de-pared-taos-0-1770388870331.png,0,0,[],2026-02-06T14:41:11.864Z,2026-02-06T14:41:11.864Z
6985fd856560ad38f3f770d5,Ducha embutida TAOS,AQU137041,ducha-embutida-taos,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da7,Ducha,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388870/products/products/ducha-embutida-taos-0-1770388868080.png,0,0,[],2026-02-06T14:41:09.429Z,2026-02-06T14:41:09.429Z
6985fd836560ad38f3f770d4,Ducha exterior sin transferencia TAOS,AQU137035,ducha-exterior-sin-transferencia-taos,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da7,Ducha,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388868/products/products/ducha-exterior-sin-transferencia-taos-0-1770388866069.png,0,0,[],2026-02-06T14:41:07.179Z,2026-02-06T14:41:07.179Z
6985fd816560ad38f3f770d3,Ducha externa con transferencia TAOS,AQU137039,ducha-externa-con-transferencia-taos,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da7,Ducha,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388866/products/products/ducha-externa-con-transferencia-taos-0-1770388864037.png,0,0,[],2026-02-06T14:41:05.170Z,2026-02-06T14:41:05.170Z
6985fd7f6560ad38f3f770d2,Bidet TAOS,AQU137021,bidet-taos,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da6,Bidet,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388865/products/products/bidet-taos-0-1770388862174.jpg,0,0,[],2026-02-06T14:41:03.136Z,2026-02-06T14:41:03.136Z
6985fd7d6560ad38f3f770d1,Lavatorio bajo TAOS,AQU137016,lavatorio-bajo-taos,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da5,Lavatorio,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388862/products/products/lavatorio-bajo-taos-0-1770388859245.jpg,0,0,[],2026-02-06T14:41:01.272Z,2026-02-06T14:41:01.272Z
6985fd7a6560ad38f3f770d0,Bidet Nordica,AQU183020,bidet-nordica,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da6,Bidet,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388860/products/products/bidet-nordica-0-1770388857204.png,0,0,[],2026-02-06T14:40:58.343Z,2026-02-06T14:40:58.343Z
6985fd786560ad38f3f770cf,Ducha sin transferencia Nordica,AQU183035,ducha-sin-transferencia-nordica,Aqualaf,aqualaf,,68cda5f4ff392fb2b5d73da7,Ducha,1,0,https://res.cloudinary.com/dat59fgzq/image/upload/v1770388857/products/products/ducha-sin-transferencia-nordica-0-1770388854917.png,0,0,[],2026-02-06T14:40:56.305Z,2026-02-06T14:40:56.305Z
